p = 11, n = 3
p = 29, n = 13
p = 37, n = 17
p = 43, n = 13
p = 53, n = 22
p = 61, n = 10
p = 97, n = 11
p = 109, n = 25
p = 137, n = 5
p = 173, n = 71
p = 199, n = 38
p = 227, n = 22
p = 257, n = 66
p = 269, n = 33
p = 271, n = 58
p = 313, n = 105
p = 347, n = 63
p = 353, n = 119
p = 379, n = 146
p = 397, n = 35
p = 401, n = 76
p = 409, n = 120
p = 421, n = 202
p = 433, n = 116
p = 439, n = 213
p = 509, n = 12
p = 521, n = 27
p = 577, n = 24
p = 599, n = 71
p = 601, n = 194
p = 617, n = 99
p = 641, n = 192
p = 643, n = 218
p = 647, n = 95
p = 659, n = 103
p = 677, n = 75
p = 733, n = 320
p = 761, n = 8
p = 773, n = 139
p = 809, n = 63
p = 821, n = 392
p = 827, n = 146
p = 839, n = 381
p = 863, n = 11
p = 911, n = 47
p = 919, n = 13
p = 929, n = 171
p = 937, n = 174
p = 941, n = 53
p = 947, n = 272
p = 953, n = 212
p = 971, n = 260
p = 1009, n = 431
p = 1019, n = 38
p = 1031, n = 263
p = 1049, n = 14
p = 1051, n = 287
p = 1069, n = 200
p = 1087, n = 395
p = 1093, n = 273
p = 1117, n = 14
p = 1123, n = 362
p = 1151, n = 188
p = 1153, n = 297
p = 1171, n = 180
p = 1187, n = 195
p = 1213, n = 334
p = 1217, n = 577
p = 1231, n = 263
p = 1259, n = 590
p = 1289, n = 225
p = 1297, n = 36
p = 1301, n = 622
p = 1303, n = 229
p = 1307, n = 318
p = 1319, n = 409
p = 1327, n = 399
p = 1361, n = 146
p = 1373, n = 319
p = 1381, n = 462
p = 1409, n = 475
p = 1423, n = 67
p = 1427, n = 583
p = 1429, n = 358
p = 1433, n = 196
p = 1439, n = 38
p = 1447, n = 683
p = 1451, n = 160
p = 1493, n = 157
p = 1531, n = 132
p = 1543, n = 339
p = 1549, n = 341
p = 1553, n = 45
p = 1559, n = 596
p = 1567, n = 456
p = 1619, n = 482
p = 1637, n = 103
p = 1657, n = 254
p = 1697, n = 418
p = 1723, n = 387
p = 1733, n = 505
p = 1777, n = 203
p = 1789, n = 189
